,subject,condition,position_index,billboard_image_at_position,billboard_emotionality,billboard#_fixated,billboard#_fixated_count,billboard#_duration,recall,recognition
0,sub013,free viewing,1,hotel,high_emo,0,0.0,0.0,0,0
1,sub013,free viewing,2,tech_addiction,low_emo,1,8.0,6.459999999999997,0,0
2,sub013,free viewing,3,vaping,high_emo,1,4.0,5.290000000000003,0,0
3,sub013,free viewing,4,sun_protection,low_emo,1,3.0,1.3200000000000005,1,1
4,sub013,free viewing,5,marijuana,high_emo,1,3.0,3.969999999999999,0,0
5,sub013,free viewing,6,HIV,low_emo,1,2.0,2.3899999999999864,0,1
6,sub013,free viewing,7,brunch,high_emo,0,0.0,0.0,0,0
7,sub013,free viewing,8,coffee,high_emo,1,3.0,2.9399999999999977,0,0
8,sub013,free viewing,9,furniture,low_emo,1,2.0,2.6299999999999955,0,0
9,sub013,free viewing,10,burger,low_emo,1,2.0,1.7600000000000051,0,1
10,sub013,free viewing,11,education_donation,low_emo,1,4.0,2.289999999999935,0,1
11,sub013,free viewing,12,drugged_driving,low_emo,1,3.0,1.5,0,1
12,sub013,free viewing,13,binge_drinking,low_emo,1,3.0,2.9000000000000057,0,1
13,sub013,free viewing,14,vaccination,low_emo,1,4.0,1.8200000000000216,0,0
14,sub013,free viewing,15,buckle_up,high_emo,1,1.0,1.7199999999999989,1,1
15,sub013,free viewing,16,wash_hands,high_emo,1,3.0,1.7800000000000011,0,0
16,sub013,free viewing,17,text_driving,low_emo,1,3.0,1.8899999999999864,0,1
17,sub013,free viewing,18,diabetes,high_emo,1,2.0,1.0500000000000114,0,1
18,sub013,free viewing,19,smoking,high_emo,1,4.0,1.979999999999961,1,0
19,sub013,free viewing,20,healthy_diet,high_emo,1,4.0,1.740000000000066,0,1
0,sub014,free viewing,1,hotel,low_emo,0,0.0,0.0,0,0
1,sub014,free viewing,2,tech_addiction,high_emo,0,0.0,0.0,0,0
2,sub014,free viewing,3,vaping,low_emo,1,5.0,5.140000000000004,0,1
3,sub014,free viewing,4,sun_protection,high_emo,1,2.0,2.719999999999999,0,1
4,sub014,free viewing,5,marijuana,low_emo,1,3.0,4.619999999999997,0,1
5,sub014,free viewing,6,HIV,high_emo,1,5.0,4.790000000000006,0,0
6,sub014,free viewing,7,brunch,low_emo,1,2.0,2.219999999999999,0,1
7,sub014,free viewing,8,coffee,low_emo,1,3.0,3.219999999999999,0,0
8,sub014,free viewing,9,furniture,high_emo,1,3.0,2.039999999999992,0,1
9,sub014,free viewing,10,burger,high_emo,1,7.0,2.720000000000028,0,1
10,sub014,free viewing,11,education_donation,high_emo,1,3.0,2.720000000000028,1,1
11,sub014,free viewing,12,drugged_driving,high_emo,1,4.0,2.200000000000017,1,1
12,sub014,free viewing,13,binge_drinking,high_emo,1,4.0,2.039999999999992,0,0
13,sub014,free viewing,14,vaccination,high_emo,1,3.0,3.9299999999999775,0,0
14,sub014,free viewing,15,buckle_up,low_emo,1,3.0,3.089999999999975,0,1
15,sub014,free viewing,16,wash_hands,low_emo,1,1.0,0.2600000000000193,0,0
16,sub014,free viewing,17,text_driving,high_emo,1,5.0,3.359999999999985,0,1
17,sub014,free viewing,18,diabetes,low_emo,1,3.0,1.5199999999999818,0,1
18,sub014,free viewing,19,smoking,low_emo,1,3.0,5.470000000000056,1,1
19,sub014,free viewing,20,healthy_diet,low_emo,1,3.0,1.3799999999999386,0,0
0,sub015,free viewing,1,diabetes,high_emo,0,0.0,0.0,0,0
1,sub015,free viewing,2,smoking,high_emo,1,3.0,3.6000000000000014,0,0
2,sub015,free viewing,3,coffee,high_emo,1,4.0,3.010000000000005,0,0
3,sub015,free viewing,4,hotel,high_emo,1,5.0,3.1099999999999994,0,0
4,sub015,free viewing,5,drugged_driving,low_emo,1,2.0,1.0400000000000065,0,0
5,sub015,free viewing,6,education_donation,high_emo,1,4.0,3.8100000000000014,0,0
6,sub015,free viewing,7,vaping,high_emo,1,2.0,3.8100000000000014,0,0
7,sub015,free viewing,8,healthy_diet,low_emo,1,2.0,3.069999999999993,0,0
8,sub015,free viewing,9,binge_drinking,low_emo,1,4.0,2.8100000000000023,1,1
9,sub015,free viewing,10,sun_protection,high_emo,1,2.0,2.6999999999999886,0,1
10,sub015,free viewing,11,brunch,low_emo,1,3.0,3.549999999999983,0,1
11,sub015,free viewing,12,tech_addiction,high_emo,1,2.0,1.6099999999999852,0,1
12,sub015,free viewing,13,vaccination,low_emo,1,4.0,1.8900000000000148,0,1
13,sub015,free viewing,14,burger,low_emo,1,2.0,1.339999999999975,1,1
14,sub015,free viewing,15,HIV,high_emo,1,3.0,4.279999999999973,0,0
15,sub015,free viewing,16,furniture,low_emo,1,3.0,2.3799999999999955,0,1
16,sub015,free viewing,17,marijuana,low_emo,1,3.0,2.5,1,1
17,sub015,free viewing,18,text_driving,high_emo,1,3.0,2.329999999999984,1,1
18,sub015,free viewing,19,buckle_up,low_emo,1,2.0,1.2100000000000364,0,1
19,sub015,free viewing,20,wash_hands,low_emo,0,0.0,0.0,0,1
0,sub016,free viewing,1,diabetes,low_emo,1,4.0,4.210000000000001,0,1
